agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
3,C3,base,base,361,69.19637581675559,0.3750119248188912,2.450630389424751,0,4.533999999999976,0.76611111111111,6.281820098051162,1010.0,1015
4,C3,base,base,361,52.74528135659019,0.374832114526804,2.869422674787924,0,4.5619999999999745,0.7680555555555545,7.092069265503879,1150.0,1015
5,C3,base,base,360,50.87190677155059,0.375255675198295,2.8884237362250325,0,4.565999999999972,0.7670833333333323,7.245099105866967,1230.0,1015
1,C4,base,base,361,60.38268659046958,0.373033484758814,2.772975824029819,0,4.841999999999944,0.7875000000000013,7.0591837164508355,2550.0,1015
2,C4,base,base,361,68.16925708044317,0.37452864134628067,2.55446165953635,0,4.849999999999943,0.7880555555555568,6.699287145977932,2590.0,1015
3,C4,base,base,361,69.19637581675559,0.37470730674637254,2.560823118120945,0,4.837999999999944,0.7872222222222234,6.635097875828978,2530.0,1015
4,C4,base,base,361,52.74528135659019,0.37460439766195847,2.9111414538978226,0,4.8519999999999435,0.7881944444444458,7.472624821059467,2600.0,1015
5,C4,base,base,360,50.87190677155059,0.37475101780641995,2.9335954087109197,0,4.841999999999944,0.7862500000000012,7.568432439200338,2610.0,1015
1,C1,base,base,378,19.898636790254205,0.28914221817211233,1.2824554544864675,0,4.537999999999984,0.7876388888888868,3.5050681604872898,10.0,1016
2,C1,base,base,344,19.861375288384597,0.3101097248438132,1.3818137188666073,0,4.129999999999999,0.7168055555555537,3.5069312355807702,10.0,1016
