scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C4,1018,1,37.18727924340885,1388,0.0,26.774841055254463,24.55243328285929
v3_primary_challenge,C5,1018,1,37.15823687267816,1387,0.0,26.75393054832837,24.516914362994502
v3_primary_challenge,C1,1019,1,45.631239028153054,15,168.8783930842893,32.8544921002702,30.133015465330644
v3_primary_challenge,C2,1019,1,45.69200555666384,1261,22.507770930169013,32.89824400079804,30.19829728225085
v3_primary_challenge,C3,1019,1,39.17116039312342,1403,0.0,28.20323548304901,25.8571372282547
v3_primary_challenge,C4,1019,1,39.17116039312342,1403,0.0,28.20323548304901,25.867275548178345
v3_primary_challenge,C5,1019,1,39.17116039312342,1403,0.0,28.20323548304901,25.856455381001357
v3_primary_challenge,C1,1020,1,45.879389284046724,15,135.50686437800158,33.03316028451364,30.12706959784743
v3_primary_challenge,C2,1020,1,54.545236003573415,1209,0.0,39.27256992257293,35.90404826999696
v3_primary_challenge,C3,1020,1,39.70231967049791,1456,0.0,28.585670162758586,26.167693004057497
v3_primary_challenge,C4,1020,1,39.70231967049791,1456,0.0,28.585670162758586,26.17249969932575
v3_primary_challenge,C5,1020,1,39.70231967049791,1456,0.0,28.585670162758586,26.15143969829666
v3_primary_challenge,C1,1021,1,42.65925668457389,14,155.80532655680557,30.714664812893204,28.11353819622023
v3_primary_challenge,C2,1021,1,47.18092366924612,1472,0.0,33.97026504185724,31.01213571533138
v3_primary_challenge,C3,1021,1,44.256347093497155,1542,0.0,31.864569907318064,29.150500367023234
v3_primary_challenge,C4,1021,1,44.25634709349716,1542,0.0,31.864569907318064,29.18601483630754
v3_primary_challenge,C5,1021,1,44.25634709349716,1542,0.0,31.864569907318064,29.188434349449025
v3_primary_challenge,C1,1022,1,42.790165590286044,14,70.9534287462875,30.80891922500595,28.100045214658575
v3_primary_challenge,C2,1022,1,51.333473373396544,1083,2.4303318573705233,36.960100828845555,33.81896886435398
v3_primary_challenge,C3,1022,1,41.2451165393784,1428,0.0,29.696483908352548,27.234801511556395
v3_primary_challenge,C4,1022,1,41.2451165393784,1428,0.0,29.696483908352548,27.208020789307792
v3_primary_challenge,C5,1022,1,41.2451165393784,1428,0.0,29.696483908352548,27.22051865706405
v3_primary_challenge,C1,1023,1,33.40823137936905,11,139.43633869209256,24.053926593145714,22.109567905811474
v3_primary_challenge,C2,1023,1,45.08430704602624,1384,0.0,32.46070107313898,29.65890696448163
v3_primary_challenge,C3,1023,1,42.46598714125937,1465,0.0,30.575510741706864,28.00822210477073
v3_primary_challenge,C4,1023,1,42.46598714125937,1465,0.0,30.575510741706864,28.01762517945022
v3_primary_challenge,C5,1023,1,42.46598714125937,1465,0.0,30.575510741706864,28.023035322634442
v3_primary_challenge,C1,1024,1,39.55159662875627,13,137.45205739252773,28.477149572704516,26.124615066092765
v3_primary_challenge,C2,1024,1,43.27677343815431,1537,0.0,31.15927687547123,28.503105280987466
v3_primary_challenge,C3,1024,1,43.27677343815431,1537,0.0,31.159276875471228,28.512043495198153
v3_primary_challenge,C4,1024,1,43.27677343815431,1537,0.0,31.159276875471228,28.529658078350117
v3_primary_challenge,C5,1024,1,43.27677343815431,1537,0.0,31.15927687547123,28.5095230628456
v3_primary_challenge,C1,1025,1,42.911869872576034,14,99.07998321695716,30.896546308254738,28.13124769731021
v3_primary_challenge,C2,1025,1,48.89308160576279,1354,2.960594732333751e-17,35.20301875614919,32.294657381842434
v3_primary_challenge,C3,1025,1,42.90087240683318,1506,0.0,30.88862813291998,28.301467655601414
v3_primary_challenge,C4,1025,1,42.90087240683318,1506,0.0,30.88862813291998,28.320803647326493
v3_primary_challenge,C5,1025,1,42.90087240683318,1506,2.960594732333751e-17,30.88862813291998,28.317157212724556
v3_primary_challenge,C1,1026,1,45.96693214396327,15,104.93495144189303,33.096191143653556,30.17361262047676
